,potentialid,contract_city,contract_state,address,retailer_id,approval_date,expiry_date,cf_pot_nganh_hang,lat,lng,House_number,Street,Ward,District,City,progress
146,,,,,,,,,10.795,106.72399,720A,Đường Điện Biên Phủ,Phường 22,Quận Bình Thạnh,Hồ Chí Minh,True
147,,,,,,,,,11.54307,107.80243,807,Đường Trần Phú,Phường 2,Bảo Lộc,Lâm Đồng,True
148,,,,,,,,,,,,,,,,True
149,,,,,,,,,10.75606,106.70935,198C,Đường Xóm Chiếu,Phường 16,Quận 4,Hồ Chí Minh,True
150,,,,,,,,,10.36466,106.01442,,Quốc Lộ 1A,Xã Đông Hòa Hiệp,Huyện Cái Bè,Tiền Giang,True
151,,,,,,,,,10.75334,106.71011,93,Đường Tôn Thất Thuyết,Phường 15,Quận 4,Hồ Chí Minh,True
152,,,,,,,,,10.75873,106.7114,,Đường Đoàn Văn Bơ,Phường 18,Quận 4,Hồ Chí Minh,True
153,,,,,,,,,10.76205,106.7024,237/4,Hẻm 237 Hoàng Diệu,Phường 8,Quận 4,Hồ Chí Minh,True
154,,,,,,,,,10.76301,106.70417,146/2,Đường Đoàn Văn Bơ,Phường 13,Quận 4,Hồ Chí Minh,True
155,,,,,,,,,10.75678,106.70558,266/5,Hẻm 266 Tôn Đản,Phường 4,Quận 4,Hồ Chí Minh,True
156,,,,,,,,,10.75828,106.70918,,,Phường 14,Quận 4,Hồ Chí Minh,True
157,,,,,,,,,10.75811,106.709,538/90,Hẻm 538 Đoàn Văn Bơ,Phường 14,Quận 4,Hồ Chí Minh,True
158,,,,,,,,,10.76018,106.7113,354/18/2,Hẻm 332 Đường Nguyễn Tất Thành,Phường 13,Quận 4,Hồ Chí Minh,True
159,,,,,,,,,10.75326,106.70459,183A11,Đường Tôn Thất Thuyết,Phường 4,Quận 4,Hồ Chí Minh,True
160,,,,,,,,,10.75506,106.69088,360C,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
161,,,,,,,,,,,,,,,,True
162,,,,,,,,,,,,,,,,True
163,,,,,,,,,10.75782,106.70057,22,Đường Số 45,Phường 6,Quận 4,Hồ Chí Minh,True
164,,,,,,,,,10.7565,106.6918,346,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
165,,,,,,,,,10.75422,106.70557,341,Đường Tôn Đản,Phường 4,Quận 4,Hồ Chí Minh,True
166,,,,,,,,,10.75408,106.69725,243/88/2A,Đường Tôn Thất Thuyết,Phường 3,Quận 4,Hồ Chí Minh,True
167,,,,,,,,,10.75452,106.70655,301/32,Hẻm 307 Tôn Đản,Phường 15,Quận 4,Hồ Chí Minh,True
168,,,,,,,,,10.75331,106.70577,177,Đường Tôn Thất Thuyết,Phường 15,Quận 4,Hồ Chí Minh,True
169,,,,,,,,,10.75391,106.71358,15,Đường Tôn Thất Thuyết,Phường 16,Quận 4,Hồ Chí Minh,True
170,,,,,,,,,10.75606,106.70357,64,Đường Vĩnh Hội,Phường 4,Quận 4,Hồ Chí Minh,True
171,,,,,,,,,10.76599,106.70242,56,Đường Bến Vân Đồn,Phường 13,Quận 4,Hồ Chí Minh,True
172,,,,,,,,,11.92334,108.44409,,,Phường 3,Đà Lạt,Lâm Đồng,True
173,,,,,,,,,10.76668,106.70443,,Đường Bến Vân Đồn,,Quận 4,Hồ Chí Minh,True
174,,,,,,,,,10.75543,106.71702,,Nguyễn Thần Hiến,Phường 18,Quận 4,Hồ Chí Minh,True
175,,,,,,,,,10.76145,106.70304,108D,Đường Hoàng Diệu,Phường 8,Quận 4,Hồ Chí Minh,True
176,,,,,,,,,10.76145,106.69808,183/14,Hẻm 183 Bến Vân Đồn,Phường 6,Quận 4,Hồ Chí Minh,True
177,,,,,,,,,10.75829,106.71113,111,Đường Xóm Chiếu,Phường 16,Quận 4,Hồ Chí Minh,True
178,,,,,,,,,10.75589,106.70615,,Hẻm 265 Tôn Đản,Phường 15,Quận 4,Hồ Chí Minh,True
179,,,,,,,,,10.76075,106.70019,L14,Đường Hoàng Diệu,Phường 6,Quận 4,Hồ Chí Minh,True
180,,,,,,,,,10.75467,106.71657,A85A,Hẻm B156 Đường Nguyễn Thần Hiến,Phường 18,Quận 4,Hồ Chí Minh,True
181,,,,,,,,,10.76255,106.70206,196,Đường Hoàng Diệu,Phường 8,Quận 4,Hồ Chí Minh,True
182,,,,,,,,,10.7565,106.70982,159B,Đường Xóm Chiếu,Phường 16,Quận 4,Hồ Chí Minh,True
183,,,,,,,,,10.76116,106.7023,,Hẻm 129F/121 Đường Bến Vân Đồn,Phường 8,Quận 4,Hồ Chí Minh,True
184,,,,,,,,,10.76377,106.70328,,Đường Đoàn Văn Bơ,,Quận 4,Hồ Chí Minh,True
185,,,,,,,,,10.75764,106.7007,10,Đường Số 45,Phường 6,Quận 4,Hồ Chí Minh,True
186,,,,,,,,,10.75693,106.70999,163,Đường Xóm Chiếu,Phường 16,Quận 4,Hồ Chí Minh,True
187,,,,,,,,,10.76118,106.70558,232,Đường Vĩnh Khánh,Phường 10,Quận 4,Hồ Chí Minh,True
188,,,,,,,,,10.77673,106.6665,,Đường Sư Vạn Hạnh,Phường 13,Quận 10,Hồ Chí Minh,True
189,,,,,,,,,10.75798,106.70045,34,Đường Số 45,Phường 6,Quận 4,Hồ Chí Minh,True
190,,,,,,,,,10.76086,106.70028,L26,Đường Hoàng Diệu,Phường 6,Quận 4,Hồ Chí Minh,True
191,,,,,,,,,10.75852,106.69957,61,Đường Khánh Hội,Phường 3,Quận 4,Hồ Chí Minh,True
192,,,,,,,,,,,,,,,,True
193,,,,,,,,,10.75326,106.6959,277/2A,Đường Tôn Thất Thuyết,Phường 3,Quận 4,Hồ Chí Minh,True
194,,,,,,,,,56.66613,16.36394,,,,,,True
195,,,,,,,,,10.75702,106.70342,19,Đường Số 19,Phường 4,Quận 4,Hồ Chí Minh,True
196,,,,,,,,,10.76266,106.69848,155,Đường Bến Vân Đồn,Phường 6,Quận 4,Hồ Chí Minh,True
197,,,,,,,,,10.75605,106.70296,38,Đường Vĩnh Hội,Phường 4,Quận 4,Hồ Chí Minh,True
198,,,,,,,,,10.75461,106.70557,364,Đường Tôn Đản,Phường 4,Quận 4,Hồ Chí Minh,True
199,,,,,,,,,10.75863,106.69441,283,Đường Bến Vân Đồn,Phường 2,Quận 4,Hồ Chí Minh,True
200,,,,,,,,,10.75692,106.70061,121,Đường Khánh Hội,Phường 3,Quận 4,Hồ Chí Minh,True
201,,,,,,,,,10.7533,106.70628,166A,Đường Tôn Thất Thuyết,Phường 15,Quận 4,Hồ Chí Minh,True
202,,,,,,,,,10.75852,106.69427,284,Đường Bến Vân Đồn,Phường 2,Quận 4,Hồ Chí Minh,True
203,,,,,,,,,10.75303,106.69911,180,Đường Tôn Thất Thuyết,Phường 3,Quận 4,Hồ Chí Minh,True
204,,,,,,,,,10.75676,106.70987,164,Đường Xóm Chiếu,Phường 16,Quận 4,Hồ Chí Minh,True
205,,,,,,,,,10.7642,106.70629,4,Đường Hoàng Diệu,Phường 13,Quận 4,Hồ Chí Minh,True
206,,,,,,,,,10.75696,106.70038,169,Đường Khánh Hội,Phường 3,Quận 4,Hồ Chí Minh,True
